icd10_ecode,icd10_mechanism,mechanism_count,icd10_intent,icd10_description,icd9_ecode,icd9_ecode_numeric,icd9_intent,icd9_mechanism,icd9_display
Y93.B9,ACTIVITY,1,,"Activity, other involving muscle strengthening exercises",E010.9,10.9,,ACTIVITY,"E010.9 Activity, other activity involving other muscle strengthening exercises"
W01.118D,FALL,1,UNINTENTIONAL,"Fall on same level from slipping, tripping and stumbling with subsequent striking against other sharp object, subsequent encounter",E888.0,888,UNINTENTIONAL,FALL,"E888.0 Fall, resulting in striking against sharp object (FALL, UNINTENTIONAL)"
T65.832S,OTHER_NEC,1,SELF_INFLICTED,"Toxic effect of fiberglass, intentional self-harm, sequela",E959,959,SELF_INFLICTED,OTHER_NEC,"E959 Self-Inflicted, Late effects (OTHER_NEC, SELF_INFLICTED)"
T65.834A,POISONING,1,UNDETERMINED,"Toxic effect of fiberglass, undetermined, initial encounter",E980.9,980.9,UNDETERMINED,POISONING,"E980.9 Unknown, Other/unspecified poisons (POISONING, UNDETERMINED)"
V29.29XA,TRANSPORT_OTHER,1,UNINTENTIONAL,"Unspecified motorcycle rider injured in collision with other motor vehicles in nontraffic accident, initial encounter",E822.9,822.9,UNINTENTIONAL,TRANSPORT_OTHER,"E822.9 Nontraffic, Collision with moving object, Unspecified person (TRANSPORT_OTHER, UNINTENTIONAL)"
V90.80XD,DROWNING_SUBMERSION,1,UNINTENTIONAL,"Drowning and submersion due to other accident to merchant ship, subsequent encounter",E830.9,830.9,UNINTENTIONAL,DROWNING_SUBMERSION,"E830.9 Water, Submersion, Unspecified person (DROWNING_SUBMERSION, UNINTENTIONAL)"
T53.1X2A,POISONING,1,SELF_INFLICTED,"Toxic effect of chloroform, intentional self-harm, initial encounter",E950.9,950.9,SELF_INFLICTED,POISONING,"E950.9 Self-Inflicted, Other and unspecified substances (POISONING, SELF_INFLICTED)"
Y35.031D,FIREARM,1,OTHER,"Legal intervention involving injury by rifle pellet, law enforcement official injured, subsequent encounter",E970,970,OTHER,FIREARM,"E970 Legal Intervention, Firearms (FIREARM, OTHER)"
V96.23XA,TRANSPORT_OTHER,1,UNINTENTIONAL,"Glider (nonpowered) collision injuring occupant, initial encounter",E842.6,842.6,UNINTENTIONAL,TRANSPORT_OTHER,"E842.6 Air, Unpowered aircraft, Unpowered aircraft occupant (TRANSPORT_OTHER, UNINTENTIONAL)"
V09.3XXS,OTHER_SPECIFIED,1,UNINTENTIONAL,"Pedestrian injured in unspecified traffic accident, sequela",E929.1,929.1,UNINTENTIONAL,OTHER_SPECIFIED,"E929.1 Late Effect, Other transport accident (OTHER_SPECIFIED, UNINTENTIONAL)"
V10.3XXS,OTHER_SPECIFIED,1,UNINTENTIONAL,"Person boarding or alighting a pedal cycle injured in collision with pedestrian or animal, sequela",E929.1,929.1,UNINTENTIONAL,OTHER_SPECIFIED,"E929.1 Late Effect, Other transport accident (OTHER_SPECIFIED, UNINTENTIONAL)"
V12.4XXA,MOTOR_VEHICLE_PEDAL_CYCLIST,1,UNINTENTIONAL,"Pedal cycle driver injured in collision with two- or three-wheeled motor vehicle in traffic accident, initial encounter",E813.6,813.6,UNINTENTIONAL,MOTOR_VEHICLE_PEDAL_CYCLIST,"E813.6 Traffic, Collision with other vehicle, Pedal cyclist (MOTOR_VEHICLE_PEDAL_CYCLIST, UNINTENTIONAL)"
